occupation_group,occ22_id,z_analyzing_data_or_information,z_processing_information,z_documenting_recording_information,z_working_with_computers,z_assisting_and_caring_for_others,z_handling_and_moving_objects
Management Occupations,1,1.2158324137230387,0.9886867450141988,0.32832832431846826,0.9708830569662605,-0.25206468035762764,-1.108000582322804
Business and Financial Operations Occupations,2,1.3906931441735615,1.2789251819484,0.7252497703556234,1.096940164946165,-0.8414184353106946,-1.4810173067343737
Computer and Mathematical Occupations,3,1.3590540346662812,1.5969303196678737,0.36984952426484713,1.4968354767477416,-1.1416164440496797,-1.4191149788509037
Architecture and Engineering Occupations,4,1.3349555379660158,1.0044589073353756,0.6962845122274043,1.1607271178224376,-1.3085341418397773,-0.9112497050078954
"Life, Physical, and Social Science Occupations",5,1.6541510740122642,1.2477160605940432,0.9440191915378091,0.7207744618773425,-0.672888888546451,-0.6108079012374078
Community and Social Service Occupations,6,-0.2925495883438732,0.11346027592527845,1.3518837769869922,0.720965482925721,1.5933076662650323,-1.2409257510904317
Legal Occupations,7,0.8115342840895826,0.9196723762317466,0.9041570476591703,0.6711126483122681,-0.3881559740101426,-1.363528842958097
Educational Instruction and Library Occupations,8,-0.10251394592223456,-0.48854118676931224,0.07670027273142957,0.3661940392890547,0.974668456523546,-0.6613416286619285
"Arts, Design, Entertainment, Sports, and Media Occupations",9,-0.33479982557403504,-0.49549799804848843,-0.7153995031701645,0.4859148206593698,-0.7923346355037181,-0.47705287330239543
Healthcare Practitioners and Technical Occupations,10,0.8428421931045893,0.7675222129878797,1.545999614185035,0.5604866904772926,2.224778572383104,0.26948881620713544
Healthcare Support Occupations,11,-0.19999952187153724,0.29704037346160933,1.0899616193512962,0.2153234427492253,2.107815228594555,0.6118183983683095
Protective Service Occupations,12,0.5821634262639613,0.8454812443777232,1.1998833941172637,0.355415066429149,1.2181381425465712,0.14978897252640266
Food Preparation and Serving Related Occupations,13,-1.7499894448193951,-1.9940857530973788,-2.348861231657908,-1.4540757809604419,-0.32182148886238043,0.6626037339618195
Building and Grounds Cleaning and Maintenance Occupations,14,-1.4511551572866264,-1.38261199901215,-1.3780351614477775,-1.7643713643379721,0.07769289492790253,1.0098540340926747
Personal Care and Service Occupations,15,-1.4575546005908993,-1.290495294048275,-0.6882129399443289,-1.0122671563230021,0.900936445478278,0.3480153683761147
Sales and Related Occupations,16,-0.942436166495493,-1.1515436896640425,-1.0981389303251052,-0.16101589780754658,-0.4913365860345591,0.05508887183775582
Office and Administrative Support Occupations,17,-0.34604179483740777,0.6587480232827497,0.291139978537953,0.9209645626022724,-0.3870297188946814,-0.5072946401975783
"Farming, Fishing, and Forestry Occupations",18,-0.5596599719012325,-0.7686883746799177,-0.8417789846305365,-1.312525857342874,-0.4692241185126648,1.3555370309061565
Construction and Extraction Occupations,19,-0.13753599154464793,-0.33086442273098277,-0.7896790682747525,-1.5648018062032267,-0.41608625604244953,1.4732840528075795
"Installation, Maintenance, and Repair Occupations",20,0.07518718472568933,-0.2313855318513879,-0.1694159614698723,-0.25205913406317837,-0.47293622518955114,1.455895456660869
Production Occupations,21,-0.532980964754003,-0.46639434212470793,-0.6587256070629588,-0.8971460616221563,-0.7037559706189583,1.137285957851161
Transportation and Material Moving Occupations,22,-1.159196318783612,-1.118533128800212,-0.8352096382899143,-1.3242739731438942,-0.4381338429456617,1.2516735167678437
