year,ai_relevance_tercile,mean_annual_income,poverty_rate,mean_weeks_worked,unemployment_incidence,sum_asec_person_weight
2019,low,41257.09918,0.127215,44.747246,0.055162,59377142.85
2019,middle,46439.090055,0.071571,46.645209,0.031614,52875450.41
2019,high,95325.26543,0.033105,49.03136,0.019626,52594587.72
2020,low,43733.781388,0.115257,44.709253,0.070244,57309918.19
2020,middle,49556.256414,0.067775,46.917805,0.035881,52464577.64
2020,high,100984.758737,0.028399,49.186157,0.022331,54803715.93
2021,low,43107.269478,0.087857,40.587536,0.093749,56180296.7
2021,middle,50645.830166,0.046007,44.815531,0.054101,51337726.72
2021,high,102308.434021,0.021923,47.767847,0.030101,54725528.78
2022,low,45014.886994,0.06936,42.830764,0.05835,57301769.86
2022,middle,52267.324037,0.039568,46.077708,0.032183,52342999.02
2022,high,107279.51294,0.02115,48.671821,0.015771,56434328.87
2023,low,48443.416558,0.115118,44.433773,0.053192,56996634.96
2023,middle,54598.482878,0.070072,46.345425,0.031917,53183337.23
2023,high,108526.57713,0.033021,48.991716,0.019443,58979085.48
2024,low,52327.763628,0.129809,44.656226,0.054686,57579740.04
2024,middle,57099.416308,0.072975,46.588849,0.031831,53426231.4
2024,high,115082.099721,0.028051,48.910606,0.022073,59392847.21
2025,low,53989.76807,0.126,44.520073,0.061318,57626442.61
2025,middle,61663.036096,0.072624,46.618178,0.034385,53706040.03
2025,high,122609.442284,0.028444,48.927912,0.022766,61496092.34
