event_time,ai_relevance_tercile,mean_employment_rate,mean_monthly_income,mean_snap_participation,sum_person_weight
-11,low,0.559269,2359.638442,0.110281,2350289.438022
-11,middle,0.733978,3352.232664,0.058447,1635210.855081
-11,high,0.821623,6941.107823,0.071109,1272347.850036
-10,low,0.597846,2808.262787,0.124111,4953037.080484
-10,middle,0.745613,3201.15556,0.077347,2930364.96276
-10,high,0.833503,6893.120844,0.048975,2546316.487977
-9,low,0.635354,2786.228876,0.124105,6878204.653942
-9,middle,0.799095,3362.581256,0.071429,4258378.555442
-9,high,0.8609,7221.700661,0.048188,3697024.084876
-8,low,0.647853,2729.680425,0.123618,9256186.414754
-8,middle,0.808532,3375.459069,0.076782,5662948.109935
-8,high,0.83789,7619.4218,0.052408,4982538.825439
-7,low,0.645079,2484.413027,0.107106,12738948.748881
-7,middle,0.789612,3420.54001,0.079616,7535009.603209
-7,high,0.828981,7236.077591,0.035676,6747221.300553
-6,low,0.704809,2690.695038,0.104061,14681318.430413
-6,middle,0.824306,3621.870195,0.074868,9383939.765591
-6,high,0.864193,7324.119331,0.035496,8244578.194208
-5,low,0.760823,2904.529111,0.100804,17170740.268221
-5,middle,0.848854,3721.623847,0.066856,12082609.135323
-5,high,0.88403,7366.871828,0.035433,9679273.316123
-4,low,0.798995,3108.595138,0.102999,19615532.260534
-4,middle,0.872709,3690.055016,0.071179,14460838.543085
-4,high,0.910129,7414.53436,0.03709,11478744.997181
-3,low,0.86573,3279.580321,0.09876,21835671.989446
-3,middle,0.909919,3709.537301,0.070031,16150579.459706
-3,high,0.934219,8307.137047,0.03617,13051664.88809
-2,low,0.943528,3465.999654,0.102718,24033477.424018
-2,middle,0.96523,3835.174603,0.070618,18084043.452774
-2,high,0.984077,8568.920527,0.034236,14417361.506414
-1,low,1.0,3640.066307,0.100085,25596097.731387
-1,middle,1.0,4379.202526,0.076627,19226177.730457
-1,high,1.0,8966.9694,0.030248,15334500.768266
0,low,0.0,1774.586934,0.104837,25681453.05452
0,middle,0.0,2102.648185,0.077926,19293275.273069
0,high,0.000336,5293.219336,0.038918,15366061.443608
1,low,0.226898,1556.244391,0.104032,23133962.301053
1,middle,0.229608,2005.077877,0.081379,17531185.604913
1,high,0.278105,4782.026338,0.040608,14062906.348174
2,low,0.352633,1660.374606,0.103495,20517265.01883
2,middle,0.345172,2324.585474,0.081079,16231417.080791
2,high,0.401861,4537.418582,0.042477,12723817.549881
3,low,0.393284,1765.069827,0.105042,18616269.222081
3,middle,0.406553,2512.651872,0.080429,14911164.675159
3,high,0.464386,5156.35708,0.037645,11580358.076722
4,low,0.440172,1968.023481,0.106926,16250533.613071
4,middle,0.448111,2588.16283,0.079478,13504705.066969
4,high,0.518846,5534.500558,0.038691,10259684.443662
5,low,0.486723,2188.868187,0.12267,12625551.050138
5,middle,0.501596,2748.837391,0.075599,11580222.104037
5,high,0.551552,5401.874393,0.044174,8465162.662023
6,low,0.497785,2219.89869,0.12491,10695238.998254
6,middle,0.513582,2892.936262,0.084532,9734489.418031
6,high,0.570217,5377.01786,0.037984,6903090.176853
7,low,0.504729,2435.256262,0.131365,8211195.902939
7,middle,0.504466,2608.864813,0.108504,7011313.151285
7,high,0.587054,5504.418003,0.042812,5473010.378545
8,low,0.541129,2564.096126,0.112719,5831012.616868
8,middle,0.530577,2769.157435,0.121942,4610989.392097
8,high,0.595006,5710.704118,0.033967,3737425.663306
9,low,0.580101,2938.123429,0.132946,3645139.477797
9,middle,0.55022,2821.707269,0.13549,2979685.126726
9,high,0.600219,6075.660201,0.026845,2188237.673505
10,low,0.593849,2719.107586,0.111603,1489017.223032
10,middle,0.572882,2988.139033,0.212913,1093509.151257
10,high,0.678704,5541.193209,0.021163,844789.217419
